Document/Patent number,Title,Inventor name,Publication date
US-20240291672-A1,ELECTRONIC SYSTEM FOR GENERATING AND TRACKING LINKED ELECTRONIC DIGITAL CERTIFICATES,Kurian; Manu Jacob,2024-08-29
US-20240289486-A1,SYSTEM AND METHOD FOR SECURING INFORMATION IN A DISTRIBUTED NETWORK VIA A DISTRIBUTED IDENTIFIER,Madiya; Tirupathirao et al.,2024-08-29
US-20240291681-A1,System And Method For Managing Exception Request Blocks In A Blockchain Network,Khare; Prashant et al.,2024-08-29
US-20240289192-A1,SYSTEM AND METHOD FOR PROCESSING OF EVENT DATA REAL TIME IN AN ELECTRONIC COMMUNICATION VIA AN ARTIFICIAL INTELLIGENCE ENGINE,Dintenfass; Katherine Kei-Zen et al.,2024-08-29
US-20240291652-A1,SYSTEM FOR MONITORING ACCESS TO A VIRTUAL ENVIRONMENT USING DEVICE TAGGING,Mamadapur; Krishna Rangarao et al.,2024-08-29
US-20240289097-A1,HIERARCHICAL SOFTWARE PROCESSING USING FEDERATED NODES,Goswami; Debraj et al.,2024-08-29
US-20240289581-A1,"DYNAMIC, HIDDEN, NON-FUNGIBLE TOKEN (""NFT"") PLACEHOLDERS FOR USE WITH QUICK-RESPONSE (""QR"") CODE FRAUD PREVENTION TECHNOLOGY",Singh; Shailendra et al.,2024-08-29
US-20240290182-A1,AUTOMATED TELLER MACHINE (ATM) TRANSACTION RESLIENCY USING A LONG RANGE WIDE AREA NETWORK,Sethia; Maneesh Kumar et al.,2024-08-29
US-12072965-B2,Systems and methods for geolocation security using biometric analysis,Sims; Scott Anderson et al.,2024-08-27
US-12074641-B2,System and method for secured data transmission using LiFi and holochain network,Arumugam Maharaja; Raja et al.,2024-08-27
US-12073209-B2,System for enhanced component-level detection in software applications within a computing environment,"Castrejon, III; Tomas M. et al.",2024-08-27
US-12073376-B2,Light-weight and secure payment processing using a low-power wide-area networking protocol,Polasa; Puneetha et al.,2024-08-27
US-12073078-B2,Surge volume management,Shroff; Bijoy,2024-08-27
US-12072961-B2,Systems and methods for password spraying identification and prevention using hash signature segmentation and behavior clustering analysis,Yarabolu; Vijay Kumar et al.,2024-08-27
US-12072794-B1,Testing a metaverse application for rendering errors across multiple devices,Bussa; Swathi,2024-08-27
US-20240281542-A1,Custom Patching Automation with Machine Learning Integration,Ahmed; Syed Luqman et al.,2024-08-22
US-20240281563-A1,Insight Generation Using Personal Identifiable Information (PII) Footprint Modeling,Zimmer; Allison et al.,2024-08-22
US-20240283824-A1,SYSTEM AND METHOD FOR MULTIFACTOR AUTHENTICATION FOR ACCESS TO A RESOURCE BASED ON CO-CONNECTED DEVICE PRESENCE,duPont; Justin et al.,2024-08-22
US-20240281552-A1,SYSTEM AND METHOD FOR VALIDATING A RESPONSE BASED ON CONTEXT INFORMATION,Trivedi; Abhishek et al.,2024-08-22
US-20240281415-A1,PREDICTIVE VALUE ENGINE FOR LOGICAL MAP GENERATION AND INJECTION,Kurian; Manu et al.,2024-08-22
US-20240283787-A1,SYSTEM FOR SECURED ELECTRONIC DATA ACCESS THROUGH MACHINE-LEARNING BASED ANALYSIS OF COMBINED ACCESS AUTHORIZATIONS,Sloane; Brandon et al.,2024-08-22
US-20240281781-A1,System and method for creating multiple asset pools to implement intelligent interactions in a metaverse,AGARWAL; Ankit Chandra et al.,2024-08-22
US-20240281338-A1,"SYSTEMS, METHODS, AND APPARATUSES FOR DETERMINING AND APPLYING A BACKUP FILE ATTRIBUTION TO FILES IN AN ELECTRONIC NETWORK",Regen; Samuel Martin et al.,2024-08-22
US-20240281687-A1,OPTIMIZING QUBIT CONSUMPTION OF QUANTUM PROGRAMS,Singh; Shailendra,2024-08-22
US-20240281688-A1,INTELLIGENT ORCHESTRATION OF QUANTUM PROGRAMS USING SMART CONTRACTS LINKED TO QUANTUM PROGRAM NON-FUNGIBLE TOKENS,Singh; Shailendra,2024-08-22
US-20240281813-A1,REAL-TIME CROSS-CHANNEL VERIFICATION,Dantuluri; Indradeep et al.,2024-08-22
